mode,round,test_loss,test_accuracy,aggregation_wall_seconds,mpc_runtime_seconds,encoding_seconds,global_communication_mb,mpc_rounds,total_training_seconds
plaintext,1,2.2644291066652085,0.3685,8.115100354189053e-05,0.0,0.0,0.0,0,0.005330148997018114
plaintext,2,2.2284836535198806,0.4365,2.9282993637025356e-05,0.0,0.0,0.0,0,0.005330148997018114
plaintext,3,2.1938945875957874,0.486,2.6810004783328623e-05,0.0,0.0,0.0,0,0.005330148997018114
paper_mpc,1,2.264429106677585,0.3685,7.664242879000085,2.95393,0.12013672300236067,859.752,129,14.060060310002882
paper_mpc,2,2.228483653527652,0.4365,3.419701819999318,3.06884,0.11333756300155073,859.752,129,14.060060310002882
paper_mpc,3,2.1938945876014455,0.486,2.9694368850032333,2.65311,0.10846283200226026,859.752,129,14.060060310002882
