sweep,operation,L,K,N,repetition,protocol,preprocessing_batch_size,prime,runtime_seconds,global_communication_mb,max_party_communication_mb,max_rounds,observed_result,expected_result,correct
vary_L,max,8,8,8,2,semi,500,251,0.0806843,7.43376,0.931798,763,237,237,True
vary_L,max,8,8,8,3,semi,500,251,0.0743578,7.43376,0.931798,763,209,209,True
vary_L,max,8,8,8,4,semi,500,251,0.0726914,7.43376,0.931798,763,244,244,True
vary_L,max,16,8,8,0,semi,500,65521,0.129746,16.2667,2.04408,1456,63647,63647,True
vary_L,max,16,8,8,1,semi,500,65521,0.127988,16.2667,2.04408,1456,60268,60268,True
vary_L,max,16,8,8,2,semi,500,65521,0.11864,16.2667,2.04408,1456,64872,64872,True
vary_L,max,16,8,8,3,semi,500,65521,0.118434,16.2667,2.04408,1456,56236,56236,True
vary_L,max,16,8,8,4,semi,500,65521,0.108854,16.2667,2.04408,1456,60087,60087,True
vary_L,max,32,8,8,0,semi,500,4294967291,0.196599,40.0037,5.04605,2989,4121406171,4121406171,True
vary_L,max,32,8,8,1,semi,500,4294967291,0.228977,40.0037,5.04605,2989,4249306181,4249306181,True
vary_L,max,32,8,8,2,semi,500,4294967291,0.188574,40.0037,5.04605,2989,4040658827,4040658827,True
vary_L,max,32,8,8,3,semi,500,4294967291,0.213657,40.0037,5.04605,2989,4066255484,4066255484,True
vary_L,max,32,8,8,4,semi,500,4294967291,0.212267,40.0037,5.04605,2989,4275158535,4275158535,True
vary_L,max,64,8,8,0,semi,500,18446744073709551557,0.377994,127.241,16.0887,5719,18430895559447954348,18430895559447954348,True
vary_L,max,64,8,8,1,semi,500,18446744073709551557,0.401555,127.241,16.0887,5719,17881036179259649971,17881036179259649971,True
vary_L,max,64,8,8,2,semi,500,18446744073709551557,0.433404,127.241,16.0887,5719,17531071398803308421,17531071398803308421,True
vary_L,max,64,8,8,3,semi,500,18446744073709551557,0.377197,127.241,16.0887,5719,18259528445822469477,18259528445822469477,True
vary_L,max,64,8,8,4,semi,500,18446744073709551557,0.390469,127.241,16.0887,5719,17276235246648595791,17276235246648595791,True
vary_KN,max,32,2,2,0,semi,500,4294967291,0.0071044,0.211334,0.105667,145,3151640225,3151640225,True
vary_KN,max,32,2,2,1,semi,500,4294967291,0.00665981,0.211334,0.105667,145,3387824685,3387824685,True
vary_KN,max,32,2,2,2,semi,500,4294967291,0.00858401,0.211334,0.105667,145,4196757409,4196757409,True
vary_KN,max,32,2,2,3,semi,500,4294967291,0.00850175,0.211334,0.105667,145,3457125487,3457125487,True
vary_KN,max,32,2,2,4,semi,500,4294967291,0.00761349,0.211334,0.105667,145,3570008109,3570008109,True
vary_KN,max,32,4,4,0,semi,500,4294967291,0.0311108,3.65622,0.919641,831,4154766086,4154766086,True
vary_KN,max,32,4,4,1,semi,500,4294967291,0.0304808,3.65622,0.919641,831,3688598730,3688598730,True
vary_KN,max,32,4,4,2,semi,500,4294967291,0.0299213,3.65622,0.919641,831,3758626283,3758626283,True
vary_KN,max,32,4,4,3,semi,500,4294967291,0.027786,3.65622,0.919641,831,3765164100,3765164100,True
vary_KN,max,32,4,4,4,semi,500,4294967291,0.029534,3.65622,0.919641,831,3427159353,3427159353,True
vary_KN,max,32,8,8,0,semi,500,4294967291,0.199035,40.0037,5.04605,2989,4121406171,4121406171,True
vary_KN,max,32,8,8,1,semi,500,4294967291,0.191747,40.0037,5.04605,2989,4249306181,4249306181,True
vary_KN,max,32,8,8,2,semi,500,4294967291,0.210226,40.0037,5.04605,2989,4040658827,4040658827,True
vary_KN,max,32,8,8,3,semi,500,4294967291,0.186008,40.0037,5.04605,2989,4066255484,4066255484,True
vary_KN,max,32,8,8,4,semi,500,4294967291,0.19194,40.0037,5.04605,2989,4275158535,4275158535,True
vary_KN,max,32,10,10,0,semi,500,4294967291,0.328238,81.9574,8.27612,5031,4288538238,4288538238,True
vary_KN,max,32,10,10,1,semi,500,4294967291,0.359579,81.9574,8.27612,5031,4284210323,4284210323,True
vary_KN,max,32,10,10,2,semi,500,4294967291,0.355867,81.9574,8.27612,5031,4028435410,4028435410,True
vary_KN,max,32,10,10,3,semi,500,4294967291,0.325029,81.9574,8.27612,5031,4204485882,4204485882,True
vary_KN,max,32,10,10,4,semi,500,4294967291,0.399972,81.9574,8.27612,5031,4232759586,4232759586,True
vary_KN,max,32,20,20,0,semi,500,4294967291,2.34456,729.21,36.8635,13644,4131076488,4131076488,True
vary_KN,max,32,20,20,1,semi,500,4294967291,65.7237,729.21,36.8635,13642,4217850913,4217850913,True
vary_KN,max,32,20,20,2,semi,500,4294967291,2.14809,729.21,36.8635,13642,4264824669,4264824669,True
vary_KN,max,32,20,20,3,semi,500,4294967291,2.1174,729.21,36.8635,13642,4279866742,4279866742,True
vary_KN,max,32,20,20,4,semi,500,4294967291,2.03356,729.21,36.8635,13642,4281543498,4281543498,True
vary_KN,max,32,30,30,0,semi,500,4294967291,6.73401,2552.37,86.0524,21605,4275089323,4275089323,True
vary_KN,max,32,30,30,1,semi,500,4294967291,6.88408,2552.37,86.0524,21605,4152818077,4152818077,True
vary_KN,max,32,30,30,2,semi,500,4294967291,6.51742,2552.37,86.0524,21605,4262903012,4262903012,True
vary_KN,max,32,30,30,3,semi,500,4294967291,6.6053,2552.37,86.0524,21605,4288749749,4288749749,True
vary_KN,max,32,30,30,4,semi,500,4294967291,6.59432,2552.37,86.0524,21605,4278534526,4278534526,True
vary_KN,max,32,40,40,0,semi,500,4294967291,17.9625,6609.08,167.019,35607,4268587891,4268587891,True
vary_KN,max,32,40,40,1,semi,500,4294967291,16.922,6609.08,167.019,35607,4270994052,4270994052,True
vary_KN,max,32,40,40,2,semi,500,4294967291,16.6629,6609.08,167.019,35607,4256476122,4256476122,True
vary_KN,max,32,40,40,3,semi,500,4294967291,17.8943,6609.08,167.019,35607,4289551526,4289551526,True
vary_KN,max,32,40,40,4,semi,500,4294967291,16.7436,6609.08,167.019,35607,4210279832,4210279832,True
vary_KN,max,32,50,50,0,semi,500,4294967291,37.8788,12773.6,258.33,46062,4273724339,4273724339,True
vary_KN,max,32,50,50,1,semi,500,4294967291,35.0054,12773.6,258.33,46060,4291950309,4291950309,True
vary_KN,max,32,50,50,2,semi,500,4294967291,36.1021,12773.6,258.33,46060,4208557690,4208557690,True
vary_KN,max,32,50,50,3,semi,500,4294967291,35.792,12773.6,258.33,46060,4269456794,4269456794,True
vary_KN,max,32,50,50,4,semi,500,4294967291,37.2479,12773.6,258.33,46062,4271908249,4271908249,True
