N,K,L,protocol,runtime_median_seconds,runtime_p25_seconds,runtime_p75_seconds,communication_median_mb,communication_p25_mb,communication_p75_mb,rounds,repetitions
2,2,32,semi,0.00844076,0.008359995,0.008798975,0.213662,0.213662,0.213662,145,3
4,4,32,semi,0.0341039,0.0328098,0.0643989,3.68557,3.68557,3.68557,831,3
8,8,32,semi,0.338786,0.333758,0.3651365,40.2196,40.2196,40.2196,2989,3
10,10,32,semi,0.661813,0.6220445,0.665102,82.6154,82.6154,82.6154,5031,3
20,20,32,semi,2.51659,2.5154199999999998,2.5804799999999997,734.761,734.761,734.761,13642,3
30,30,32,semi,7.29275,7.2341,8.416665,2569.59,2569.59,2569.59,21866,3
40,40,32,semi,21.3933,20.80255,36.0361,6609.1,6609.1,6609.1,35607,3
50,50,32,semi,48.1217,43.72555,53.823499999999996,12829.5,12829.5,12829.5,47826,3
